"lat","lng","type"
17.3900466,78.476117,"Bank"
17.4421029,78.5050526,"Bank"
17.476154,78.4817517,"Bank"
17.3990907,78.5172151,"Bank"
17.3867203,78.4639022,"Bank"
17.347614,78.820094,"Bank"
17.3851772,78.4823719,"Bank"
17.4512852,78.5330408,"Bank"
17.4779468,78.5530293,"Bank"
17.4195331,78.5186155,"Bank"
17.4358259,78.5056927,"Bank"
17.3973278,78.4794974,"Bank"
17.411951,78.4564947,"Bank"
17.4284783,78.4130939,"Bank"
17.5145854,78.4474577,"Bank"
17.365191,78.4674323,"Bank"
17.3639612,78.521517,"Bank"
17.4293272,78.4286208,"Bank"
17.4907208,78.3930781,"Bank"
17.4995548,78.5080741,"Bank"
17.367591,78.526086,"Bank"
17.3479209,78.5478687,"Bank"
17.4382997,78.39944,"Bank"
17.4348835,78.4465952,"Bank"
17.4430202,78.4803099,"Bank"
17.428016,78.4571161,"Bank"
17.385044,78.486671,"Bank"
17.4415272,78.4470807,"Bank"
17.4456838,78.3777153,"Bank"
17.4005393,78.3885981,"Bank"
17.3986402,78.5058546,"Bank"
17.3701573,78.5150822,"Bank"
17.4050235,78.5549819,"Bank"
17.4553641,78.4997003,"Bank"
17.4375046,78.4007657,"Bank"
17.3863227,78.4830086,"Bank"
17.3726455,78.5106722,"Bank"
17.4497562,78.5277967,"Bank"
17.5217834,78.4428052,"Bank"
17.4294183,78.5401744,"Bank"
17.4046115,78.4649233,"Bank"
17.3933375,78.442109,"Bank"
17.3688257,78.5311441,"Bank"
17.502712,78.3880938,"Bank"
17.4195612,78.526583,"Bank"
17.3345979,78.5315085,"Bank"
17.5158475,78.8859132,"Bank"
17.4435902,78.490685,"Bank"
17.4258081,78.5415132,"Bank"
17.3221665,78.4023213,"Bank"
17.3472463,78.8199656,"Bank"
17.365303,78.4287977,"Bank"
17.4093463,78.4500705,"Bank"
17.4068151,78.4627837,"Bank"
17.4436532,78.474505,"Bank"
17.4028876,78.3776795,"Bank"
17.429932,78.44131,"Bank"
17.4511721,78.3819003,"Bank"
17.3895902,78.4941345,"Bank"
17.4234918,78.4609175,"Bank"
17.399986,78.478112,"Bank"
17.3335357,78.5092878,"Bank"
17.4137713,78.4612226,"Bank"
17.424565,78.436469,"Bank"
17.394906,78.4938173,"Bank"
17.4711193,78.508834,"Bank"
17.4851273,78.3889875,"Bank"
17.505923,78.362663,"Bank"
17.4266,78.4507,"Bank"
17.4422855,78.4438989,"Bank"
17.4016364,78.4700746,"Bank"
17.3938376,78.4266861,"Bank"
17.3889773,78.538223,"Bank"
17.3881256,78.4290107,"Bank"
17.4833192,78.5503172,"Bank"
17.4304693,78.5108903,"Bank"
17.4296281,78.4467401,"Bank"
17.5209838,78.4828949,"Bank"
17.49859,78.38811,"Bank"
17.3638489,78.5348507,"Bank"
17.3812113,78.4746971,"Bank"
17.4867115,78.3950431,"Bank"
17.4231246,78.4616109,"Bank"
17.4382761,78.495276,"Bank"
17.4504451,78.3809991,"Bank"
